Day,tp
2021/7/1,60
2021/7/2,76
2021/7/3,49
2021/7/4,52
2021/7/5,62
2021/7/6,50
2021/7/7,67
2021/7/8,59
2021/7/9,57
2021/7/10,80
2021/7/11,68
2021/7/12,47
2021/7/13,51
2021/7/14,82
2021/7/15,52
2021/7/16,64
2021/7/17,68
2021/7/18,59
2021/7/19,54
2021/7/20,60
2021/7/21,67
2021/7/22,59
2021/7/23,57
2021/7/24,72
2021/7/25,81
2021/7/26,72
2021/7/27,58
2021/7/28,44
2021/7/29,69
2021/7/30,78
2021/7/31,75
2021/8/1,69
2021/8/2,74
2021/8/3,75
2021/8/4,64
2021/8/5,70
2021/8/6,66
2021/8/7,75
2021/8/8,78
2021/8/9,66
2021/8/10,43
2021/8/11,71
2021/8/12,52
2021/8/13,56
2021/8/14,49
2021/8/15,61
2021/8/16,42
2021/8/17,62
2021/8/18,61
2021/8/19,77
2021/8/20,69
2021/8/21,81
2021/8/22,57
2021/8/23,69
2021/8/24,64
2021/8/25,87
2021/8/26,69
2021/8/27,65
2021/8/28,67
2021/8/29,59
2021/8/30,58
2021/8/31,62
2021/9/1,89
2021/9/2,78
2021/9/3,57
2021/9/4,73
2021/9/5,63
2021/9/6,60
2021/9/7,54
2021/9/8,66
2021/9/9,89
2021/9/10,60
2021/9/11,49
2021/9/12,70
2021/9/13,54
2021/9/14,70
2021/9/15,90
2021/9/16,68
2021/9/17,64
2021/9/18,64
2021/9/19,63
2021/9/20,82
2021/9/21,72
2021/9/22,93
2021/9/23,84
2021/9/24,81
2021/9/25,97
2021/9/26,93
2021/9/27,74
2021/9/28,100
2021/9/29,73
2021/9/30,99
2021/10/1,77
2021/10/2,83
2021/10/3,83
2021/10/4,52
2021/10/5,62
2021/10/6,75
2021/10/7,70
2021/10/8,52
2021/10/9,68
2021/10/10,73
2021/10/11,65
2021/10/12,59
2021/10/13,77
2021/10/14,83
2021/10/15,64
2021/10/16,73
2021/10/17,68
2021/10/18,89
2021/10/19,85
2021/10/20,69
2021/10/21,68
2021/10/22,70
2021/10/23,98
2021/10/24,78
2021/10/25,78
2021/10/26,74
2021/10/27,61
2021/10/28,68
2021/10/29,54
2021/10/30,74
2021/10/31,65